,code
217,0000000002013050300006
218,0000000002013032800037
219,0000000002013121800004
220,0000000002015042300008
221,0000000002012032500002
222,0000000002011102100004
223,0000000002011102200005
224,0000000002010112600023
225,0000000002010112800045
226,0000000002010112800155
227,0000000002010111900262
228,0000000002010112800045
229,0000000002010112800155
230,0000000002010111900198
231,0000000002010111900262
232,0000000002010111500092
233,0000000002010111500168
234,0000000002010111500458
235,0000000002010111200387
236,0000000002010111200296
237,0000000002010111200093
238,0000000002010111100523
239,0000000002010111100423
240,0000000002010111600878
241,0000000002010110900269
242,0000000002010102700045
243,0000000002010111001208
244,0000000002010111000901
245,0000000002010111000883
246,0000000002010111000518
247,0000000002010111000674
248,0000000002010112600116
249,0000000002010120100068
250,0000000002010113000100
251,0000000002010112700119
252,0000000002010111500458
253,0000000002010111200387
254,0000000002010111200296
255,0000000002010111100423
256,0000000002010111100523
257,0000000002010111200093
258,0000000002010111100678
259,0000000002010102700045
260,0000000002010111100678
261,0000000002010110900269
262,0000000002010111001150
263,0000000002010111001208
264,0000000002010111000901
265,0000000002010111000883
266,0000000002010111100523
267,0000000002010111100423
268,0000000002012082400017
269,0000000002013092600004
270,0000000002013072400013
271,0000000002012072500052
272,0000000002012072400023
273,0000000002015072800020
274,0000000002013111800006
275,0000000002013121100005
276,0000000002012053100003
277,0000000002014071400041
278,0000000002011072700013
279,0000000002010112600116
280,0000000002010111601131
281,0000000002010111601113
282,0000000002010111600194
283,0000000002010111600878
284,0000000002016111500007
285,0000000002010111900398
286,0000000002010111800164
287,0000000002010111600109
288,0000000002016122300014
289,0000000002012051800002
290,0000000002012070900008
291,0000000002012082400014
292,0000000002010111601013
293,0000000002010111600180
294,0000000002010111600363
295,0000000002010110900945
296,0000000002010110900088
297,0000000002010110500079
298,0000000002010110900074
299,0000000002010111001031
300,0000000002010110500064
301,0000000002010111600109
302,0000000002010111600639
303,0000000002010111600676
304,0000000002010111500380
305,0000000002010111500547
306,0000000002010111100335
307,0000000002010111100386
308,0000000002010111100405
309,0000000002010111200082
310,0000000002010111200090
311,0000000002010111900349
312,0000000002010111900349
313,0000000002010110900945
314,0000000002010110900074
315,0000000002010110500079
316,0000000002012072300011
